============================================================
Time  2026/03/11 20:05:26 791 
============================================================
[2026/03/11 20:05:26 803] isr        1659 isr loaded!  
[2026/03/11 20:05:26 826] isr        1642 SYS_MSG_REGCB param0 =   msp_status_cb  param1 =   func(b802d6f0) 
[2026/03/11 20:05:26 880] isr        1537 ASR_MSG_SSB  
[2026/03/11 20:05:26 890] isr        1066 session_begin() [in], params:   sub = iat, domain = iat, language = zh_cn, accent = mandarin, sample_rate = 16000, result_type = plain, result_encoding = utf8  nil  
[2026/03/11 20:05:26 900] isr        927  vad_set [in]  
[2026/03/11 20:05:26 908] isr        962  vad_enable :  true  
[2026/03/11 20:05:26 920] isr        980  vad_bos :  10000  
[2026/03/11 20:05:26 953] isr        981  vad_eos :  2000  
[2026/03/11 20:05:26 960] isr        886  enable_vad [in]  
[2026/03/11 20:05:27 029] isr        918  vad enabled!  2000  10000  
[2026/03/11 20:05:27 038] isr        921  enable_vad [out]  
[2026/03/11 20:05:27 051] isr        987  vad_set [out] | ret =  0  
[2026/03/11 20:05:27 055] isr        1187 cur_engine_type =   cloud  
[2026/03/11 20:05:27 061] isr        1001 cloud_session_begin  
[2026/03/11 20:05:27 069] isr        1013 unknown  
[2026/03/11 20:05:27 340] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:27 353] isr        1559 6400  1  
[2026/03/11 20:05:27 361] isr        1569 once_bytes:   6400  
[2026/03/11 20:05:27 441] isr        851  [aud] speech start  
[2026/03/11 20:05:27 450] isr        798  1  msc  
[2026/03/11 20:05:27 565] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:27 575] isr        1559 6400  2  
[2026/03/11 20:05:27 762] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:27 770] isr        1559 6400  2  
[2026/03/11 20:05:28 008] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:28 015] isr        1559 6400  2  
[2026/03/11 20:05:28 236] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:28 253] isr        1559 6400  2  
[2026/03/11 20:05:28 477] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:28 500] isr        1559 6400  2  
[2026/03/11 20:05:28 824] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:28 852] isr        1559 6400  2  
[2026/03/11 20:05:29 204] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:29 223] isr        1559 6400  2  
[2026/03/11 20:05:29 587] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:29 768] isr        1559 6400  2  
[2026/03/11 20:05:30 233] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:30 358] isr        1559 6400  2  
[2026/03/11 20:05:30 438] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:30 554] isr        1559 6400  2  
[2026/03/11 20:05:31 275] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:31 306] isr        1559 6400  2  
[2026/03/11 20:05:31 690] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:31 809] isr        1559 6400  2  
[2026/03/11 20:05:31 948] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:31 997] isr        1559 6400  2  
[2026/03/11 20:05:32 594] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:32 717] isr        1559 6400  2  
[2026/03/11 20:05:33 156] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:33 197] isr        1559 6400  2  
[2026/03/11 20:05:33 654] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:33 936] isr        1559 6400  2  
[2026/03/11 20:05:34 401] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:34 443] isr        1559 6400  2  
[2026/03/11 20:05:34 868] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:34 918] isr        1559 6400  2  
[2026/03/11 20:05:35 064] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:35 221] isr        1559 6400  2  
[2026/03/11 20:05:35 547] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:35 558] isr        1559 6400  2  
[2026/03/11 20:05:35 736] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:35 836] isr        1559 6400  2  
[2026/03/11 20:05:36 063] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:36 104] isr        1559 6400  2  
[2026/03/11 20:05:36 261] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:36 295] isr        1559 6400  2  
[2026/03/11 20:05:36 549] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:36 591] isr        1559 6400  2  
[2026/03/11 20:05:36 764] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:36 797] isr        1559 6400  2  
[2026/03/11 20:05:37 023] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:37 060] isr        1559 6400  2  
[2026/03/11 20:05:37 126] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:37 176] isr        1559 6400  2  
[2026/03/11 20:05:37 512] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:37 568] isr        1559 6400  2  
[2026/03/11 20:05:37 727] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:37 743] isr        1559 6400  2  
[2026/03/11 20:05:38 174] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:38 262] isr        1559 6400  2  
[2026/03/11 20:05:38 390] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:38 417] isr        1559 6400  2  
[2026/03/11 20:05:39 390] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:39 400] isr        1559 6400  2  
[2026/03/11 20:05:39 626] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:39 653] isr        1559 6400  2  
[2026/03/11 20:05:39 928] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:39 947] isr        1559 6400  2  
[2026/03/11 20:05:40 156] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:40 184] isr        1559 6400  2  
[2026/03/11 20:05:40 313] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:40 404] isr        1559 6400  2  
[2026/03/11 20:05:40 516] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:40 616] isr        1559 6400  2  
[2026/03/11 20:05:40 754] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:40 796] isr        1559 6400  2  
[2026/03/11 20:05:40 948] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:40 966] isr        1559 6400  2  
[2026/03/11 20:05:41 954] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:41 962] isr        1559 6400  2  
[2026/03/11 20:05:42 034] isr        1547 ASR_MSG_AUW,   cloud  
[2026/03/11 20:05:42 051] isr        1559 6400  2  
